cycle,prompts,run_id,stage,score,checks_ok,checks_total
0,v2,260803-182408-prototype_aws_3_permits,specify,46.2,,
0,v2,260803-182408-prototype_aws_3_permits,plan,46.4,,
0,v2,260803-182408-prototype_aws_3_permits,analyze,46.5,,
0,v2,260803-182408-prototype_aws_3_permits,build,39.3,0,1
0,v2,260803-182408-prototype_aws_3_permits,validate,18.4,0,1
1,v3,260803-191418-prototype_aws_3_permits,specify,56.8,,
1,v3,260803-191418-prototype_aws_3_permits,plan,39.6,,
1,v3,260803-191418-prototype_aws_3_permits,analyze,63.5,,
1,v3,260803-191418-prototype_aws_3_permits,build,19.4,1,1
1,v3,260803-191418-prototype_aws_3_permits,validate,77.9,1,1
2,v4,260803-200612-prototype_aws_3_permits,specify,46.6,,
2,v4,260803-200612-prototype_aws_3_permits,plan,61.0,,
2,v4,260803-200612-prototype_aws_3_permits,analyze,45.6,,
2,v4,260803-200612-prototype_aws_3_permits,build,43.5,1,1
2,v4,260803-200612-prototype_aws_3_permits,validate,52.0,1,1
3,v5,260803-203003-prototype_aws_3_permits,specify,49.8,,
3,v5,260803-203003-prototype_aws_3_permits,plan,45.6,,
3,v5,260803-203003-prototype_aws_3_permits,analyze,67.5,,
3,v5,260803-203003-prototype_aws_3_permits,build,64.7,0,1
3,v5,260803-203003-prototype_aws_3_permits,validate,39.0,0,1
4,v6,260803-205731-prototype_aws_3_permits,specify,52.3,,
4,v6,260803-205731-prototype_aws_3_permits,plan,63.2,,
4,v6,260803-205731-prototype_aws_3_permits,analyze,35.3,,
4,v6,260803-205731-prototype_aws_3_permits,build,68.7,1,1
4,v6,260803-205731-prototype_aws_3_permits,validate,87.0,1,1
5,v7,260803-212552-prototype_aws_3_permits,specify,45.1,,
5,v7,260803-212552-prototype_aws_3_permits,plan,54.0,,
5,v7,260803-212552-prototype_aws_3_permits,analyze,43.4,,
5,v7,260803-212552-prototype_aws_3_permits,build,44.6,0,1
5,v7,260803-212552-prototype_aws_3_permits,validate,52.9,0,1
6,v8,260803-215128-prototype_aws_3_permits,specify,50.7,,
6,v8,260803-215128-prototype_aws_3_permits,plan,65.2,,
6,v8,260803-215128-prototype_aws_3_permits,analyze,31.8,,
6,v8,260803-215128-prototype_aws_3_permits,build,59.4,1,1
6,v8,260803-215128-prototype_aws_3_permits,validate,63.0,1,1
7,v10,260803-223702-prototype_aws_3_permits,specify,63.3,,
7,v10,260803-223702-prototype_aws_3_permits,plan,81.2,,
7,v10,260803-223702-prototype_aws_3_permits,analyze,63.5,,
7,v10,260803-223702-prototype_aws_3_permits,build,67.2,0,1
7,v10,260803-223702-prototype_aws_3_permits,validate,35.3,0,1
8,v10-REPLICATION,260803-230655-prototype_aws_3_permits,specify,58.6,,
8,v10-REPLICATION,260803-230655-prototype_aws_3_permits,plan,12.6,,
8,v10-REPLICATION,260803-230655-prototype_aws_3_permits,analyze,50.6,,
8,v10-REPLICATION,260803-230655-prototype_aws_3_permits,build,69.5,0,1
8,v10-REPLICATION,260803-230655-prototype_aws_3_permits,validate,53.5,0,1
9,v10+think,260803-234148-prototype_aws_3_permits,specify,63.4,,
9,v10+think,260803-234148-prototype_aws_3_permits,plan,64.0,,
9,v10+think,260803-234148-prototype_aws_3_permits,analyze,28.1,,
9,v10+think,260803-234148-prototype_aws_3_permits,build,74.9,,
9,v10+think,260803-234148-prototype_aws_3_permits,validate,85.3,,
10,v10+think,260804-022332-prototype_aws_3_permits,specify,70.9,,
10,v10+think,260804-022332-prototype_aws_3_permits,plan,67.2,,
10,v10+think,260804-022332-prototype_aws_3_permits,analyze,57.9,,
10,v10+think,260804-022332-prototype_aws_3_permits,build,71.0,1,1
10,v10+think,260804-022332-prototype_aws_3_permits,validate,70.5,1,1
11,v10+think,260804-024305-prototype_aws_3_permits,specify,65.6,,
11,v10+think,260804-024305-prototype_aws_3_permits,plan,55.6,,
11,v10+think,260804-024305-prototype_aws_3_permits,analyze,60.2,,
11,v10+think,260804-024305-prototype_aws_3_permits,build,57.9,0,1
11,v10+think,260804-024305-prototype_aws_3_permits,validate,87.0,1,1
12,v10+think-FIXEDJUDGE,260804-030808-prototype_aws_3_permits,specify,49.7,,
12,v10+think-FIXEDJUDGE,260804-030808-prototype_aws_3_permits,plan,71.2,,
12,v10+think-FIXEDJUDGE,260804-030808-prototype_aws_3_permits,analyze,68.3,,
12,v10+think-FIXEDJUDGE,260804-030808-prototype_aws_3_permits,build,74.7,,
